numbered_file,original_name
sliding-window00001.npy,4-1BB_windows
sliding-window00002.npy,B7-H3_windows
sliding-window00003.npy,B7-H4_windows
sliding-window00004.npy,BATF_windows
sliding-window00005.npy,BCMA_windows
sliding-window00006.npy,CBLB_windows
sliding-window00007.npy,CCL5_windows
sliding-window00008.npy,CCR7_windows
sliding-window00009.npy,CD2_windows
sliding-window00010.npy,CD4_windows
sliding-window00011.npy,CD5_windows
sliding-window00012.npy,CD7_windows
sliding-window00013.npy,CD19_windows
sliding-window00014.npy,CD20_windows
sliding-window00015.npy,CD22_windows
sliding-window00016.npy,CD27_windows
sliding-window00017.npy,CD28_windows
sliding-window00018.npy,CD30_windows
sliding-window00019.npy,CD33_windows
sliding-window00020.npy,CD34_windows
sliding-window00021.npy,CD37_windows
sliding-window00022.npy,CD38_windows
sliding-window00023.npy,CD40L_windows
sliding-window00024.npy,CD40_windows
sliding-window00025.npy,CD44v6_windows
sliding-window00026.npy,CD62L_windows
sliding-window00027.npy,CD70_windows
sliding-window00028.npy,CD79A_windows
sliding-window00029.npy,CD79B_windows
sliding-window00030.npy,CD123_windows
sliding-window00031.npy,CD138_windows
sliding-window00032.npy,CEA_windows
sliding-window00033.npy,CLL1_windows
sliding-window00034.npy,CTLA-4_windows
sliding-window00035.npy,CTNNB1_windows
sliding-window00036.npy,CXCL9_windows
sliding-window00037.npy,CXCL10_windows
sliding-window00038.npy,DAP10_windows
sliding-window00039.npy,DAP12_windows
sliding-window00040.npy,EGFRvIII_windows
sliding-window00041.npy,EGFR_windows
sliding-window00042.npy,GD2_windows
sliding-window00043.npy,GITR_windows
sliding-window00044.npy,HER2_windows
sliding-window00045.npy,HIF1A_windows
sliding-window00046.npy,HSV-TK_windows
sliding-window00047.npy,ICOS_windows
sliding-window00048.npy,IL13RA2_windows
sliding-window00049.npy,IL-2_windows
sliding-window00050.npy,IL-6_windows
sliding-window00051.npy,IL-7_windows
sliding-window00052.npy,IL-12A_windows
sliding-window00053.npy,IL-12B_windows
sliding-window00054.npy,IL-15_windows
sliding-window00055.npy,IL-18_windows
sliding-window00056.npy,IL-21_windows
sliding-window00057.npy,IRF4_windows
sliding-window00058.npy,LAG-3_windows
sliding-window00059.npy,LDHA_windows
sliding-window00060.npy,MSLN_windows
sliding-window00061.npy,MUC1_windows
sliding-window00062.npy,MYC_windows
sliding-window00063.npy,OX40_windows
sliding-window00064.npy,PD1_windows
sliding-window00065.npy,PD-1_windows
sliding-window00066.npy,PD-L1_windows
sliding-window00067.npy,PD-L2_windows
sliding-window00068.npy,PSCA_windows
sliding-window00069.npy,PSMA_windows
sliding-window00070.npy,PTPN2_windows
sliding-window00071.npy,REGNASE-1_windows
sliding-window00072.npy,ROR1_windows
sliding-window00073.npy,RQR8_windows
sliding-window00074.npy,SOCS1_windows
sliding-window00075.npy,TET2_windows
sliding-window00076.npy,TGFBR2_windows
sliding-window00077.npy,TIGIT_windows
sliding-window00078.npy,TIM-3_windows
sliding-window00079.npy,VISTA_windows
sliding-window00080.npy,iCasp9_windows
